drug,n_tests,n_significant_raw_p,n_increasing,n_decreasing,median_abs_slope,median_r_squared,median_mse,significant_raw_p_fraction
Baricitinib,8665,2511,21,2490,0.3614200626169827,0.5148626816489507,0.23878625152475624,0.2897864974033468
Amuvatinib,8665,1561,60,1501,0.1609809036125976,0.34440237094477916,0.09462343070399493,0.18015002885170225
AMG-208,8665,1348,16,1332,0.2111680882220905,0.3375031913381206,0.17501217640128838,0.15556837853433353
BI-2536,8665,1270,6,1264,0.28201295535065835,0.44203810655825737,0.2243616533403607,0.1465666474321985
BMS-777607_withCAKI,8665,1025,28,997,0.15841201521559514,0.31207933877986266,0.10166807585296558,0.11829197922677438
AZD-6482,8665,1018,971,47,0.10817274941649485,0.20678174141839306,0.08414435354265956,0.11748413156376226
AEW-541,8665,983,10,973,0.19554995239718426,0.2729011938642918,0.21597749852334946,0.11344489324870168
Alisertib,8665,865,86,779,0.1379927519051831,0.2492166489411733,0.11465779590744479,0.0998268897864974
BMS-690514_inBT474,8665,826,31,795,0.12576583849565823,0.1741840058951436,0.1434974407989895,0.0953260242354299
AZD-5363,8665,789,717,72,0.17316433681630178,0.25947103693385964,0.1669571503857215,0.09105597230236584
AZD-8055,8665,786,755,31,0.13985105661854746,0.24739345294022017,0.11284550024317663,0.09070975187536065
Barasertib_HQPA,8665,709,616,93,0.08859697679134189,0.17453135918704119,0.0748959708593191,0.08182342758222735
AZD-7762,8665,682,157,525,0.10064834969100186,0.1852185453532943,0.08880726218787821,0.07870744373918061
AZD-1480,8665,680,520,160,0.10757232164427472,0.14762846903357763,0.12465209645205716,0.07847663012117714
Barasertib,8665,641,584,57,0.10503959392953882,0.18304934410133988,0.09170095752882641,0.07397576457010964
BMS-754807,8665,610,56,554,0.08634751100833869,0.2083669113877477,0.050495336210286394,0.07039815349105598
AT-9283,8665,595,201,394,0.17838173761917886,0.1973565380034646,0.24918876401052703,0.06866705135603
AZD-8330,8665,578,512,66,0.07772673845388677,0.1459508031942147,0.06716594708969036,0.06670513560300058
AZD-8186,8665,574,24,550,0.12829966266578496,0.20637713809263408,0.11814848804140164,0.06624350836699365
Apatinib,8665,559,431,128,0.057366879220238795,0.126074964650007,0.0442385668086165,0.06451240623196769
Alectinib,8665,551,143,408,0.24326332557520988,0.22325813532525074,0.4319968629848183,0.06358915175995383
Abemaciclib,8665,545,375,170,0.14207995555621228,0.18449660562111977,0.14739260428265444,0.06289671090594345
BMS-387032,8665,542,348,194,0.0801447191504841,0.14540621853749644,0.07640864677379507,0.06255049047893825
BI-847325,8665,539,129,410,0.0943078506973581,0.15131097791604398,0.09827479438828629,0.06220427005193306
Apitolisib,8665,522,437,85,0.12740917750960917,0.17554268831245853,0.14931858226263955,0.060242354298903636
AT-7519,8665,477,72,405,0.1534855169600078,0.14250013379138393,0.2828300411799462,0.05504904789382573
AMG-208_withCAKI,8665,477,390,87,0.13630721128957354,0.1892301868267816,0.17020683353459565,0.05504904789382573
ASP-3026,8665,440,31,409,0.11589950838013074,0.11623999991147296,0.23280717189261926,0.050778995960761686
Alvocidib,8665,436,112,324,0.07203975935182337,0.12397780894771875,0.07810284441866024,0.05031736872475476
BMS-690514,8665,425,317,108,0.120196459192902,0.19086773097949258,0.1178266849564619,0.04904789382573572
AV-412,8665,411,28,383,0.07655195758308486,0.10142727609462554,0.10035494877898483,0.04743219849971148
Afatinib,8665,398,49,349,0.08344488600636867,0.12069644890015678,0.10364078087522559,0.04593190998268898
BGT-226,8665,387,222,165,0.11631368101677594,0.15097011113723327,0.14655843110509154,0.04466243508366994
AEE-788_inBT474,8665,375,57,318,0.05717450945387943,0.08114565491509658,0.06901104622921997,0.04327755337564916
AZD-4547,8665,368,288,80,0.12184493143015282,0.1221813235316835,0.2056609131530005,0.04246970571263704
AXL-1717,8665,367,5,362,0.17296417040113798,0.19004552161186788,0.2609634977164384,0.04235429890363532
BMS-777607,8665,364,306,58,0.09825605923518074,0.17742730018370167,0.08547902983276018,0.04200807847663012
AZD-1208,8665,361,100,261,0.1489364586260421,0.16600546195694482,0.22856531619560574,0.041661858049624925
Afatinib_inBT474,8665,351,213,138,0.08325784375014351,0.11701767648767311,0.09436844771292874,0.04050778995960762
AT-13148,8665,346,314,32,0.13402485130945618,0.08301611022893643,0.5445510221538503,0.039930755914598964
AZD-2014,8665,331,256,75,0.1539895190824866,0.09848126528031748,0.5693808170226181,0.038199653779572997
AMG-900,8665,299,254,45,0.09134410761166382,0.11714231254078418,0.13199375334086344,0.0345066358915176
Axitinib,8665,249,68,181,0.056146859005027194,0.07349613804770541,0.08054455487136565,0.028736295441431043
AZD-5438,8665,245,227,18,0.2447257408608049,0.29825818689116507,0.34583601364576055,0.02827466820542412
ARRY-380_inBT474,8665,229,112,117,0.09514524455329763,0.09289526660839849,0.16644745608849662,0.02642815926139642
ARRY-380,8665,207,40,167,0.18208084019972237,0.14553969203397937,0.35550253764350226,0.02388920946335834
Bafetinib,8665,179,105,74,0.07750960129298076,0.0859712502835457,0.13371731716267082,0.020657818811309868
AV-412_inBT474,8665,169,95,74,0.07015896469611531,0.08615758376101681,0.10221277667066794,0.019503750721292557
BYL-719,8665,162,90,72,0.06762454222095399,0.06326589098697381,0.13814930612315676,0.01869590305828044
BMS-911543,8665,76,21,55,0.14348439786614106,0.04266459315454956,1.3017280717830368,0.008770917484131564
