drug,tested_peptide_drug_pairs,regression_global_fdr_hits,regression_within_drug_fdr_hits,wilcoxon_screening_hits,combined_screening_hits,median_abs_regression_slope,median_abs_treatment_shift,min_regression_global_q_value,min_regression_within_drug_q_value,min_wilcoxon_within_drug_q_value,decreasing,increasing,flat,percent_regression_within_drug_fdr_hits
AT-7519,3711,0,101,1473,1554,0.22673239747435547,0.5971637514381314,0.12947571974476543,0.006324886446715807,0.0302001953125,101.0,0.0,0,2.7216383724063595
AZD-1480,4087,0,60,2203,2227,0.17551845288214368,0.7043076725299908,0.12947571974476543,0.018644765858399755,0.025320925852498018,15.0,45.0,0,1.4680694886224614
BMS-754807,3116,0,26,1108,1118,0.06888102811397295,0.43048165002241756,0.12947571974476543,0.014595561568813304,0.025200569358178052,25.0,1.0,0,0.834403080872914
BMS-777607_withCAKI,3659,0,3,1087,1088,0.16827389459659528,0.407905109194882,0.14622788536908046,0.04841709157396912,0.039980332167832165,3.0,0.0,0,0.08198961464881115
AMG-208_withCAKI,3677,0,2,313,315,0.19289596315979302,0.33838143397636955,0.14622788536908046,0.042821561139025646,0.08678719788519637,0.0,2.0,0,0.054392167527875984
AT-9283,4588,0,2,0,2,0.2699170749712497,0.29213851920323375,0.14622788536908046,0.026298173432034957,0.23427287581699346,2.0,0.0,0,0.043591979075850044
AZD-5363,4546,0,1,611,612,0.18200146975792422,0.4003250288879743,0.12947571974476543,0.009606852096795526,0.09224837662337662,1.0,0.0,0,0.02199736031676199
AMG-900,3943,0,1,0,1,0.14567767606126164,0.318834941147216,0.14622788536908046,0.04371905541828096,0.18173856932153393,0.0,1.0,0,0.0253613999492772
Alvocidib,4086,0,1,0,1,0.09446660183798045,0.1965004356851061,0.12947571974476543,0.01228693624909576,0.11400669642857143,1.0,0.0,0,0.024473813020068527
AZD-4547,4952,0,0,3354,3354,0.11412869700570213,0.9067167591022613,0.14622788536908046,0.13049734698770873,0.021014394350896252,0.0,0.0,0,0.0
AXL-1717,3926,0,0,2710,2710,0.09179447674738536,1.196576112658855,0.2109083934278021,0.9997834734635811,0.02036645086321381,0.0,0.0,0,0.0
AZD-6482,4538,0,0,2357,2357,0.0952016972017475,0.5754208148464945,0.14640457546147145,0.15992589497992518,0.02329377463863338,0.0,0.0,0,0.0
Amuvatinib,3901,0,0,2252,2252,0.15257830371790815,0.7118814217795766,0.14622788536908046,0.06665832795213257,0.019035954091193005,0.0,0.0,0,0.0
AZD-1208,3537,0,0,2212,2212,0.1378423690884821,1.0699998935419615,0.17089954274536773,0.35428580988581565,0.02390381704152249,0.0,0.0,0,0.0
BGT-226,3549,0,0,2127,2127,0.11049214565193223,0.8227971681188393,0.20284432551765416,0.68805659647573,0.019470900632022472,0.0,0.0,0,0.0
BMS-911543,4464,0,0,2053,2053,0.11944725500336584,0.9431344623633571,0.21767579646036528,0.9999607623730186,0.04706477732793522,0.0,0.0,0,0.0
Barasertib,4171,0,0,1988,1988,0.08693337981684846,0.5452221324164253,0.18431664560914057,0.6626766380625191,0.024263542442293375,0.0,0.0,0,0.0
Bafetinib,4025,0,0,1322,1322,0.08530516110668086,0.4470794148016495,0.17535833189550049,0.5409404667129565,0.035017051781737196,0.0,0.0,0,0.0
BMS-690514,5720,0,0,1300,1300,0.15674638990806802,0.6114371421384739,0.14622788536908046,0.11185732974156143,0.012468610491071428,0.0,0.0,0,0.0
AZD-8330,3923,0,0,1216,1216,0.08057284554091705,0.3631577305346223,0.12947571974476543,0.010511734343888763,0.024917428861788618,0.0,0.0,0,0.0
