drug,tested_peptide_drug_pairs,regression_global_fdr_hits,regression_within_drug_fdr_hits,wilcoxon_screening_hits,combined_screening_hits,median_abs_regression_slope,median_abs_treatment_shift,min_regression_global_q_value,min_regression_within_drug_q_value,min_wilcoxon_within_drug_q_value,decreasing,increasing,flat,percent_regression_within_drug_fdr_hits
Baricitinib,3067,0,837,0,837,0.472236604029232,0.48650467291981236,0.12215971790461407,0.04015682369033549,0.13564116379310345,834.0,3.0,0,27.29051190088034
AT-7519,3278,0,82,1399,1461,0.20654542065452572,0.59022433218035,0.10373608691393957,0.005586897809844901,0.023046875,82.0,0.0,0,2.5015253203172665
AZD-1480,3253,0,74,1817,1848,0.16596874593376956,0.649235979327166,0.10373608691393957,0.014840084007187303,0.01901392743854084,19.0,55.0,0,2.274823240086074
BMS-754807,2281,0,36,836,850,0.06144190693301141,0.39661953801424943,0.10373608691393957,0.010684363266515767,0.017873317805383024,33.0,3.0,0,1.578255151249452
BMS-777607_withCAKI,2815,0,6,984,988,0.17455791623203704,0.38815170878577554,0.12215971790461407,0.03724900595264364,0.030091783216783217,6.0,0.0,0,0.21314387211367672
BMS-690514_inBT474,3580,0,4,1640,1640,0.10075515216687828,0.5069352285088868,0.12215971790461407,0.035004304237306445,0.027907538659793816,4.0,0.0,0,0.11173184357541899
BI-847325,3004,0,4,563,565,0.08942400184653379,0.28285566009676977,0.12215971790461407,0.04539773332388994,0.04775039640591966,3.0,1.0,0,0.13315579227696406
BMS-690514,2224,0,4,0,4,0.16651975920914525,0.24012373453906832,0.12215971790461407,0.04303207581937744,0.1303485576923077,1.0,3.0,0,0.17985611510791366
Amuvatinib,3845,0,1,2002,2003,0.14993728072629495,0.6902136700890686,0.11213039444389798,0.027810906985717733,0.016098336976889446,1.0,0.0,0,0.02600780234070221
AZD-5363,3546,0,1,689,690,0.1795398761187531,0.38133809000394514,0.10373608691393957,0.007493598225965001,0.07008928571428572,1.0,0.0,0,0.02820078962210942
Alvocidib,3089,0,1,195,195,0.08970971504703253,0.19163266215509367,0.10373608691393957,0.009288875691007536,0.08468191964285714,1.0,0.0,0,0.03237293622531564
AMG-900,2701,0,1,0,1,0.14393392394564652,0.3080025607668233,0.11775950240932742,0.029948051910924936,0.12449299410029499,0.0,1.0,0,0.037023324694557574
AT-9283,3202,0,1,0,1,0.26072417310529106,0.25390655049021227,0.11775950240932742,0.03378090706464904,0.15997753267973855,1.0,0.0,0,0.03123048094940662
BI-2536,2382,0,1,0,1,0.41243961455730693,0.38903168644145225,0.1189314504575626,0.03258803427048303,0.5706000766871165,1.0,0.0,0,0.041981528127623846
AZD-4547,4136,0,0,2960,2960,0.10316512145707157,0.9165447776913469,0.12215971790461407,0.10899374538391823,0.016490697990222705,0.0,0.0,0,0.0
AXL-1717,2978,0,0,2294,2294,0.08336442190357105,1.220968537855624,0.18868057356080353,0.9990083225846785,0.015028427954847278,0.0,0.0,0,0.0
AZD-6482,3869,0,0,2081,2081,0.09073586842385788,0.5720163611125395,0.12258326591414585,0.14436988538863912,0.018889618922470434,0.0,0.0,0,0.0
BGT-226,2986,0,0,1886,1886,0.09715900836777716,0.8660824988063638,0.17597768927838076,0.645829882466681,0.014434471558988764,0.0,0.0,0,0.0
AZD-1208,2814,0,0,1757,1757,0.12155381201586915,0.930669903169119,0.1448668929799207,0.3523325802299563,0.016854995674740483,0.0,0.0,0,0.0
BMS-911543,2079,0,0,1733,1733,0.13331652071919992,1.1480262248387803,0.43024710488314993,0.9997497871195995,0.021666244939271256,0.0,0.0,0,0.0
Barasertib,3378,0,0,1723,1723,0.07921425084046668,0.5588915559303125,0.16197374850202487,0.5924467429309085,0.01880700856291884,0.0,0.0,0,0.0
AMG-208,3866,0,0,1337,1337,0.2405273025294115,0.5787701773534746,0.12215971790461407,0.0923362215427638,0.0564184131736527,0.0,0.0,0,0.0
Bafetinib,3217,0,0,1210,1210,0.07657621848680098,0.43603380405088643,0.15421888872338235,0.5115607847033449,0.02711755289532294,0.0,0.0,0,0.0
AZD-8330,3889,0,0,1134,1134,0.07663140358057631,0.3473446285160833,0.10373608691393957,0.010420630859898907,0.02111915650406504,0.0,0.0,0,0.0
BMS-387032,3556,0,0,1063,1063,0.06962685541561481,0.33773954749334223,0.1387920406528901,0.3745159476482492,0.025998348825831703,0.0,0.0,0,0.0
Abemaciclib,2241,0,0,1013,1013,0.1460382269297735,0.5827889352150031,0.12258326591414585,0.15453356958696957,0.0309375,0.0,0.0,0,0.0
