drug,protein_group,group_size,selection_reason,n_peptides_total,n_peptides_da,fraction_da,is_protein_level_da,direction_consistent,dominant_direction,n_unique_da_peptides,n_shared_da_peptides,n_unique_peptides_total
AEE-788_inBT474,sp|Q13233|M3K1_HUMAN,1,unique_peptide,10,0,0.0,False,True,none,0,0,10
AEE-788_inBT474,sp|O75116|ROCK2_HUMAN,1,unique_peptide,42,0,0.0,False,True,none,0,0,37
AEE-788_inBT474,sp|P68104|EF1A1_HUMAN;sp|Q5VTE0|EF1A3_HUMAN,2,unique_peptide,8,0,0.0,False,True,none,0,0,8
AEE-788_inBT474,sp|P19338|NUCL_HUMAN,1,unique_peptide,29,0,0.0,False,True,none,0,0,29
AEE-788_inBT474,sp|P23396|RS3_HUMAN,1,unique_peptide,11,0,0.0,False,True,none,0,0,11
AEE-788_inBT474,sp|P60842|IF4A1_HUMAN;sp|Q14240|IF4A2_HUMAN,2,unique_peptide,3,0,0.0,False,True,none,0,0,3
AEE-788_inBT474,sp|Q12906|ILF3_HUMAN,1,unique_peptide,13,0,0.0,False,True,none,0,0,13
AEE-788_inBT474,sp|P62906|RL10A_HUMAN,1,unique_peptide,12,0,0.0,False,True,none,0,0,12
AEE-788_inBT474,sp|Q7KZI7|MARK2_HUMAN,1,unique_peptide,26,0,0.0,False,True,none,0,0,24
AEE-788_inBT474,sp|Q99623|PHB2_HUMAN,1,unique_peptide,19,0,0.0,False,True,none,0,0,19
AEE-788_inBT474,sp|P26641|EF1G_HUMAN,1,unique_peptide,3,0,0.0,False,True,none,0,0,3
AEE-788_inBT474,sp|P28331|NDUS1_HUMAN,1,unique_peptide,3,0,0.0,False,True,none,0,0,3
AEE-788_inBT474,sp|Q53FV1|ORML2_HUMAN;sp|Q8N138|ORML3_HUMAN;sp|Q9P0S3|ORML1_HUMAN,3,unique_peptide,1,0,0.0,False,True,none,0,0,1
AEE-788_inBT474,sp|P61981|1433G_HUMAN,1,unique_peptide,9,0,0.0,False,True,none,0,0,6
AEE-788_inBT474,sp|P29323|EPHB2_HUMAN,1,unique_peptide,12,0,0.0,False,True,none,0,0,9
AEE-788_inBT474,sp|P54753|EPHB3_HUMAN,1,unique_peptide,14,0,0.0,False,True,none,0,0,7
AEE-788_inBT474,sp|P22694|KAPCB_HUMAN,1,unique_peptide,16,0,0.0,False,True,none,0,0,4
AEE-788_inBT474,sp|P39023|RL3_HUMAN,1,unique_peptide,8,0,0.0,False,True,none,0,0,8
AEE-788_inBT474,sp|P09651|ROA1_HUMAN,1,unique_peptide,3,0,0.0,False,True,none,0,0,3
AEE-788_inBT474,sp|P30101|PDIA3_HUMAN,1,unique_peptide,6,0,0.0,False,True,none,0,0,6
AEE-788_inBT474,sp|P07900|HS90A_HUMAN,1,unique_peptide,17,0,0.0,False,True,none,0,0,10
AEE-788_inBT474,sp|P08238|HS90B_HUMAN,1,unique_peptide,19,0,0.0,False,True,none,0,0,11
AEE-788_inBT474,sp|P31948|STIP1_HUMAN,1,unique_peptide,1,0,0.0,False,True,none,0,0,1
AEE-788_inBT474,sp|Q8TDN4|CABL1_HUMAN,1,unique_peptide,5,0,0.0,False,True,none,0,0,5
AEE-788_inBT474,sp|P55060|XPO2_HUMAN,1,unique_peptide,15,0,0.0,False,True,none,0,0,15
