drug,n_peptides,n_unmapped_peptides,n_protein_groups,n_unique_peptide_groups,n_greedy_groups,n_peptides_covered
AEE-788_inBT474,3789,0,721,720,1,3789
AEW-541,3305,0,667,666,1,3305
AMG-208,3866,0,845,845,0,3866
AMG-208_withCAKI,3021,0,601,601,0,3021
AMG-900,2701,0,607,607,0,2701
ARRY-380,2958,0,612,611,1,2958
ARRY-380_inBT474,2679,0,605,605,0,2679
ASP-3026,2579,0,571,571,0,2579
AT-13148,2408,0,649,648,1,2408
AT-7519,3278,0,768,768,0,3278
AT-9283,3202,0,724,723,1,3202
AV-412,3156,0,676,676,0,3156
AV-412_inBT474,2549,0,579,579,0,2549
AXL-1717,2978,0,569,569,0,2978
AZD-1208,2814,0,614,614,0,2814
AZD-1480,3253,0,774,774,0,3253
AZD-2014,4140,0,860,860,0,4140
AZD-4547,4136,0,795,795,0,4136
AZD-5363,3546,0,708,708,0,3546
AZD-5438,63,0,26,26,0,63
AZD-6482,3869,0,791,791,0,3869
AZD-7762,3208,0,721,721,0,3208
AZD-8055,3531,0,764,763,1,3531
AZD-8186,2930,0,639,639,0,2930
AZD-8330,3889,0,796,796,0,3889
Abemaciclib,2241,0,555,554,1,2241
Afatinib,3428,0,664,664,0,3428
Afatinib_inBT474,2618,0,589,589,0,2618
Alectinib,4177,0,834,834,0,4177
Alisertib,3860,0,867,867,0,3860
Alvocidib,3089,0,618,618,0,3089
Amuvatinib,3845,0,924,924,0,3845
Apatinib,4097,0,806,805,1,4097
Apitolisib,2757,0,631,631,0,2757
Axitinib,4162,0,862,861,1,4162
BGT-226,2986,0,679,679,0,2986
BI-2536,2382,0,608,607,1,2382
BI-847325,3004,0,662,662,0,3004
BMS-387032,3556,0,763,762,1,3556
BMS-690514,2224,0,531,531,0,2224
BMS-690514_inBT474,3580,0,689,688,1,3580
BMS-754807,2281,0,524,524,0,2281
BMS-777607,2006,0,509,509,0,2006
BMS-777607_withCAKI,2815,0,587,587,0,2815
BMS-911543,2079,0,521,521,0,2079
BYL-719,2885,0,608,607,1,2885
Bafetinib,3217,0,677,677,0,3217
Barasertib,3378,0,646,646,0,3378
Barasertib_HQPA,3444,0,673,673,0,3444
Baricitinib,3067,0,779,779,0,3067
