drug,max_concentration_nM,peptides_observed_for_fc,median_abs_log2_fc,mean_abs_log2_fc,peptides_abs_log2_fc_ge_1,peptides_abs_log2_fc_ge_2
AT-13148,30000.0,3348,1.4699948108543008,1.5335378008307425,2212,1106
BMS-690514,30000.0,5123,0.5912450054009604,1.0600883161781183,1798,989
Afatinib,30000.0,5085,0.43528613681895223,0.9569339504862884,1363,868
AV-412,30000.0,4887,0.45565828851856693,0.8204702830244491,1128,606
Baricitinib,30000.0,3424,1.294550041826838,1.3755879029019207,2386,500
ARRY-380,30000.0,5213,0.5213599009120635,0.8045047427619919,1358,483
AZD-1208,30000.0,3031,0.7031277286232012,1.0143661169190856,1143,427
AXL-1717,30000.0,3628,1.092502715806864,1.1471432897181808,2024,391
Amuvatinib,30000.0,3584,0.7669724809497147,0.9540086062260477,1398,376
AT-9283,30000.0,3357,0.5476284432481187,0.8218672862493709,845,333
AEW-541,30000.0,3670,1.0459850008097025,1.0888698659376608,1943,302
Alectinib,30000.0,4573,0.8611215477790886,0.9520117435417919,1849,282
Abemaciclib,30000.0,2347,0.8426859683856058,1.0011202341469627,990,247
AZD-7762,30000.0,3315,0.5347636650490308,0.7761215478182834,859,247
AZD-5438,30000.0,2250,0.928063829176411,1.0451744848338558,1037,239
AT-7519,30000.0,3196,0.8762726874508466,0.9887720568498496,1370,228
AZD-8330,30000.0,3723,0.41042536593364076,0.6306933868203369,599,218
BGT-226,30000.0,2925,0.7252876512252158,0.8773410781313992,1043,210
BI-847325,30000.0,3271,0.49434135852884964,0.6879444779917062,665,191
Alisertib,30000.0,4169,0.7216540063010406,0.811533553426511,1359,174
ASP-3026,30000.0,3007,0.475123426019163,0.6797243015958038,639,167
AEE-788,30000.0,3978,0.3123900968579605,0.5070626195965229,430,163
BMS-387032,30000.0,3662,0.42587892669951977,0.6113109120010106,616,157
AZD-1480,30000.0,3748,0.5724341291439696,0.7238885399355109,968,142
BMS-777607_withCAKI,30000.0,2816,0.9735472509341445,1.025783635127915,1342,135
AMG-208,30000.0,4230,0.616765423289479,0.72830035354112,1096,129
AZD-5363,30000.0,4061,1.010213881252227,1.0258784719621399,2065,125
AZD-4547,30000.0,4330,0.5543449627575789,0.6751963260180001,933,120
Alvocidib,30000.0,3468,0.368531943460189,0.5301105744659531,432,116
BI-2536,30000.0,3565,0.7871079792663522,0.8395593272321846,1164,92
Bafetinib,30000.0,3650,0.40764946158441795,0.5339378354848202,416,91
Axitinib,30000.0,4592,0.3377149004481641,0.4625099227709375,418,80
BMS-754807,30000.0,2750,0.41762593819493965,0.5721482381517909,371,78
AZD-8186,30000.0,3169,0.7601738498726007,0.8255511982493932,1005,77
AMG-208_withCAKI,30000.0,3303,0.5572766732870775,0.6572396440313513,605,72
AZD-6482,30000.0,4225,0.583921783811217,0.6557731620756839,799,70
AZD-2014,30000.0,4868,0.5818812189694089,0.66377091642914,1012,66
BMS-911543,30000.0,4288,0.4552424264021919,0.5537024070738258,587,57
Barasertib_HQPA,30000.0,3963,0.37711311516392243,0.4744952928844308,352,53
AZD-8055,30000.0,4140,0.324468863093232,0.436798826960194,287,51
AMG-900,30000.0,3594,0.39280817190632966,0.5032467243992294,405,48
Apitolisib,30000.0,3223,0.463544509423798,0.5788124147013702,524,46
Barasertib,30000.0,3757,0.5337856032537616,0.6069877112695519,595,40
Apatinib,30000.0,4340,0.3214529743902368,0.4078096976188976,218,40
BYL-719,30000.0,3441,0.47885110240064677,0.5628703804003391,462,34
BMS-777607,30000.0,2338,0.3727955505834899,0.4602104827539198,170,22
