,Afatinib,AZD-5438,Abemaciclib,Alvocidib,ARRY-380,AZD-1480,BMS-754807,AT-7519,BMS-387032,AMG-900,AZD-8330,AZD-2014,AZD-6482,AZD-8055,AT-13148,Amuvatinib,Barasertib,Barasertib_HQPA,AMG-208_withCAKI,BYL-719,AZD-1208,BGT-226,AZD-4547,AZD-5363,BMS-690514,BMS-777607,AEE-788,Apatinib,ASP-3026,Apitolisib,Axitinib,AEW-541,Alectinib,AZD-8186,BMS-777607_withCAKI,AXL-1717,Alisertib,BI-2536,Baricitinib,AT-9283,AZD-7762,BI-847325,AMG-208,BMS-911543,AV-412,Bafetinib
Afatinib,1.0,0.027380887553416344,0.005724160725725233,0.0285875090753553,0.027149584603099738,-0.02640929662056391,0.03990363770530155,-0.013445371183976988,-0.04889916721553816,-0.025264141234727696,-0.01581382313262518,-0.05360999290512231,-0.02656063447616015,0.05112748480975403,-0.058584181232382855,-0.009557096984266556,-0.014208185227930012,0.012951538412330255,-0.002742102038789445,-0.003843182402129427,0.01799556751301434,-0.012777827533582592,-0.011270342030964803,-0.00855493562587017,-0.0009168654042779204,-0.1045074786663597,-0.003322219893381545,-0.05749480382007337,-0.011091953243052899,0.041011350872439525,-0.019850800501144142,0.004628587114075379,-0.03869108645579099,0.00732849412020686,0.02412214746233099,0.009281326785184289,0.0017154424095459644,-0.04706472206870393,-0.016522625231241553,0.02687756299803625,-0.02614428512218043,-0.0025321149759468865,-0.044602345320636776,-0.02126900307872794,0.0033899750744842525,0.014796638934461164
AZD-5438,0.027380887553416344,1.0,0.0773742974297657,0.04118959339233798,0.047215276749387185,0.06207187120458842,-0.03731161761083823,0.03313561631768506,0.007555696841465857,-0.058178957866669684,-0.05781687056889169,-0.04377692463711609,-0.06730711368976834,-0.04522842150934074,-0.08036383374301677,-0.06291567773585093,-0.030625138344843206,-0.06382655167662492,0.061124483760636554,0.03291989936442035,-0.057894386610419825,0.009556956028742984,0.04742691307064214,0.02756507366308081,-0.0250865164561763,-0.017522148037132233,-0.016657082536714968,-0.021995310243262605,-0.005947124640895941,0.10772136972723866,0.02909639347873842,-0.06325954959992351,-0.04840583441761783,0.023098889172698464,0.028465878912759125,-0.11717377360994682,-0.05668826797093983,-0.11154139224612737,-0.07802249264170333,0.015436777667924966,-0.061238593547061314,0.011477441334857248,0.024973510006883057,-0.00038164109877162104,-0.046081044997428156,-0.030010992263396895
Abemaciclib,0.005724160725725233,0.0773742974297657,1.0,0.08738736307702824,0.030476036124519556,-0.0353076596364514,-0.09632271250758556,0.05596930685508474,0.1308259282196757,0.061713837513045024,0.00778302774340041,-0.04737382854806939,0.000659588315554467,-0.08873209611693861,-0.033427951454316984,-0.003793766378796749,-0.05968249098271327,-0.03568313875387806,0.01001277913925848,0.10156204780129385,-0.09190585946598773,-0.013673394761209675,0.010622069651550258,0.06454897150923838,0.014247553268478133,-0.07973179046293098,0.01917163169537487,0.020184865440177675,0.024192842028968,-0.02298921045189129,-0.020610092452585636,-0.0545923745147137,0.043418719793122305,0.048711910770677665,-0.008954498077424995,-0.08534819118335467,-0.08528649140534993,-0.026701891519675662,0.07601534479693846,-0.056644015948645494,-0.04511098404299745,-0.09804899579851355,-0.029187803691495498,-0.05422971107907967,0.041837460831754214,-0.10248037937182863
Alvocidib,0.0285875090753553,0.04118959339233798,0.08738736307702824,1.0,0.01931680306749241,0.012890794004340303,0.002946754639561981,0.0987262007178451,0.15163053079887248,9.9819887505562e-07,-0.09166342331147684,0.0059769190128275695,0.049547871930358985,0.015757178553532085,0.04070210981031454,0.029962430869418157,0.022526343910450625,0.06010952272146428,0.02494293168257526,-0.00043492292991133546,0.037026382582407015,0.06825064347726881,-0.09336766372297439,-0.11258535963592546,0.022627835511303304,-0.04503235857972725,0.02059539597983019,-0.04814186461824705,0.012144948252219826,-0.09980344151152576,-0.012222532954079272,0.03028556893920875,-0.009620724593277195,0.04744281469541598,0.0780042592966443,0.051020595358438905,0.03101110150695684,0.0025377947383746985,0.09709268294029554,0.08841507505756876,0.019071737346261497,0.0387875079312457,0.012273775092298373,-0.009569737717617524,-0.009375489150798158,-0.01212360395158357
ARRY-380,0.027149584603099738,0.047215276749387185,0.030476036124519556,0.01931680306749241,1.0,0.08901440928195356,-0.0021212886816882,0.047050183690633414,-0.05488014753413281,-0.03645473718826074,-0.07684748166770265,-0.030633540165380592,-0.054042805789000725,-0.013567018522989529,-0.020419977122349067,0.0657079582317115,0.06083146959671282,0.047329626680187024,0.06972526149161,0.03934203082589624,-0.06872318512626718,-0.03062316382415363,0.037199933715031774,-0.0022313376645778714,-0.0026514211321836687,-0.012347551257477734,0.04079660282844078,0.026918777563417685,-0.0014643427499078745,-0.006323320794234245,-0.015590369295052227,-0.08413865013765177,-0.04130379829736438,-0.022567519460279652,-0.010263053837253972,-0.07519611928903519,-0.013300843578359211,-0.07030748972297486,-0.00926516617061512,0.02452744119037701,-0.08751937741825691,-0.005099962394641595,-0.06898518157975798,-0.02871373361980023,0.015799257404936328,-0.022052216166213508
AZD-1480,-0.02640929662056391,0.06207187120458842,-0.0353076596364514,0.012890794004340303,0.08901440928195356,1.0,0.10563649568011922,0.050918529327689775,-0.11317881672623609,0.005485343327931359,-0.047646065834239325,0.129764399380444,0.03647513971018827,0.12910681868416343,0.0985299463892542,0.11406852230467236,0.117983401408447,-0.014878836762165205,0.1688268271653165,0.052953054904801185,0.12065034550556229,0.10385486871168692,-0.09667186900383162,0.029743139099014795,-0.056867408088570055,0.0024138187313639163,-0.01799642300689275,-0.08042230438217078,-0.06967629207118146,-0.05808172845283449,-0.0700489471708824,-0.173250096308094,-0.12280504231887333,-0.01643448589516655,-0.10655888981007952,-0.058667506856903494,-0.04379100873146659,-0.10232836291301681,-0.028956881306879845,-0.029964941767362117,-0.09194033600456923,-0.012681716813973974,-0.05236679287837375,-0.03872654516460078,-0.007803558775062392,-0.0328623551039849
BMS-754807,0.03990363770530155,-0.03731161761083823,-0.09632271250758556,0.002946754639561981,-0.0021212886816882,0.10563649568011922,1.0,0.06304432289231345,0.003246699958387117,0.013427363736576863,-0.005522446995617426,-0.01864754381334274,-0.03613958755326342,-0.01653831536937723,-0.033317180618301336,0.02411309294500956,-0.017497715458974605,-0.041082532276617886,-0.0023955174220762422,-0.09722475017578582,0.08616949306990235,-0.0737517774955508,0.04650645576743044,-0.018613048346382905,-0.07902907956525933,-0.11251696794439019,0.057397980677593906,0.041687977221247625,-0.0075148638283803,-0.024183125326195782,0.016917999274814986,0.07250486924496671,-0.050593090690833176,0.03234422761207008,0.005657265857579702,0.10686180995791414,0.08621666128115338,0.0917766666000021,0.05051898795186164,0.09343842247337536,0.025402419585637236,0.07022007575139813,-0.03985109463939702,-0.014668654171738233,0.05412367165601071,-0.03970165082457871
AT-7519,-0.013445371183976988,0.03313561631768506,0.05596930685508474,0.0987262007178451,0.047050183690633414,0.050918529327689775,0.06304432289231345,1.0,0.31109373333981066,0.10978566577207041,0.17978533811252723,0.13874386129407698,0.06998720230900869,0.06418274279885355,0.08140524754718736,0.11859339435639733,0.10047757539855298,-0.011934651636939252,0.14512214933561993,0.0557607985799156,0.08112522914813759,0.09379897629809478,-0.029657647686843782,-0.012349503387328762,0.022013150100930804,0.04664727443819778,-0.018849521583233816,0.03368737704051319,-0.0789307293800034,0.05587866107621702,-0.11041141986744273,-0.10032117748461625,-0.06027020931666604,-0.0670671632165472,-0.18986102508320665,-0.12997933625932362,-0.1321840090662059,0.03749520078289896,-0.09483850328588442,-0.08501253654306459,0.052057722622245575,-0.05769714916610427,-0.1671733920409999,-0.03369470751211674,-0.010515458506633995,-0.09533734105522923
BMS-387032,-0.04889916721553816,0.007555696841465857,0.1308259282196757,0.15163053079887248,-0.05488014753413281,-0.11317881672623609,0.003246699958387117,0.31109373333981066,1.0,0.16025645167841035,0.14098805535686507,-0.04055236994908807,0.021199450932176636,-0.030454143784341022,0.009744557401682685,-0.012327667860708868,-0.016540410562611043,-0.0371463641677764,-0.0813240669794243,0.03313012002238342,-0.0345355800087878,-0.023918717763993864,0.02765606615227546,0.01952397552985323,0.07399502590697367,-0.026260874461083623,-0.07509437382692849,0.0046218840875022725,0.024974735009580067,0.04557253023754121,0.006725447172914578,0.035548480638329084,0.0748231018106624,0.04496439940070388,-0.003247686090044195,-0.004793809874973629,0.0021554064690852766,0.10030279463505826,0.08167424829894336,-0.013372950312246583,0.2792854263507434,0.03212959480715347,-0.004494603155886948,-0.0380330113284646,0.005382599588099328,-0.054992877317929456
AMG-900,-0.025264141234727696,-0.058178957866669684,0.061713837513045024,9.9819887505562e-07,-0.03645473718826074,0.005485343327931359,0.013427363736576863,0.10978566577207041,0.16025645167841035,1.0,0.18157007403692435,-0.0152991504767484,0.05262663684969496,0.037163202510799166,0.04183758776624673,0.11202920678361951,0.08400429635799905,0.02954572548788309,-0.0011418380763625518,0.1201609157771743,0.051464560371124346,-0.023845038611342934,0.043128749655984254,0.051418770827592476,-0.0014432888688605604,0.06679335707199098,-0.022453989389603992,0.06949115795246617,-0.004293011957539709,0.01760086557356467,0.0039671200852728445,0.010905968230285387,0.04484612396804524,-0.11709777466561354,-0.09751394832167047,-0.04020090855655815,-0.004327376415837453,0.09058198129941693,-0.024727273975886685,-0.14307315583860492,-0.006668309085471805,-0.04847701164042364,-0.057671905959277917,-0.05475134264860405,0.012132262797287262,0.0341383005887291
