sample_column,measurement_type,drug,cell_line,condition_type,concentration_nM,replicate,parse_ok,PC1,PC2
_dyn_#AEE-788_inBT474 1000nM.Tech replicate 1 of 1,dyn,AEE-788,BT474,treatment,1000.0,Tech replicate 1 of 1,True,155.5056407388936,62.42021551393044
_dyn_#AEE-788_inBT474 100nM.Tech replicate 1 of 1,dyn,AEE-788,BT474,treatment,100.0,Tech replicate 1 of 1,True,166.01433483515285,63.59544649090944
_dyn_#AEE-788_inBT474 10nM.Tech replicate 1 of 1,dyn,AEE-788,BT474,treatment,10.0,Tech replicate 1 of 1,True,160.61452943410558,66.94049034320162
_dyn_#AEE-788_inBT474 30000nM.Tech replicate 1 of 1,dyn,AEE-788,BT474,treatment,30000.0,Tech replicate 1 of 1,True,140.17887438998554,59.39446463628336
_dyn_#AEE-788_inBT474 3000nM.Tech replicate 1 of 1,dyn,AEE-788,BT474,treatment,3000.0,Tech replicate 1 of 1,True,155.80219923244996,63.27097832127165
_dyn_#AEE-788_inBT474 300nM.Tech replicate 1 of 1,dyn,AEE-788,BT474,treatment,300.0,Tech replicate 1 of 1,True,157.70388214420993,62.99078306726857
_dyn_#AEE-788_inBT474 30nM.Tech replicate 1 of 1,dyn,AEE-788,BT474,treatment,30.0,Tech replicate 1 of 1,True,136.33672022399094,57.709997506434675
_dyn_#AEE-788_inBT474 3nM.Tech replicate 1 of 1,dyn,AEE-788,BT474,treatment,3.0,Tech replicate 1 of 1,True,151.7244522230003,61.9967845531737
_dyn_#AEE-788_inBT474 DMSO.Tech replicate 1 of 1,dyn,AEE-788,BT474,dmso,0.0,Tech replicate 1 of 1,True,158.72829682227785,63.319185311885114
_dyn_#AEE-788_inBT474 PDPD.Tech replicate 1 of 1,dyn,AEE-788,BT474,pdpd,0.0,Tech replicate 1 of 1,True,125.3768888169348,41.28103235322275
_dyn_#AEW-541 1000nM.Tech replicate 1 of 1,dyn,AEW-541,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-4.2017706607453835,-8.509840028452707
_dyn_#AEW-541 100nM.Tech replicate 1 of 1,dyn,AEW-541,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,28.85542160599087,-22.23577454905221
